ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw
5.127.55.169,101,92,50.5,0.1532625189681335,6.59,99,69,0,0.0,0.0,0.0,0.0,0.0099009900990099,2,0,0,0.0,0.0,0.0,1,0.08118853680693627
5.127.58.58,3,2,1.5,0.0306122448979591,49.0,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27052334105619197
5.127.59.184,2,2,2.0,2.0,1.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2536539520553533
5.127.67.36,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.127.71.233,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.71.25,1,1,1.0,1.0,0.0,1,1,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2660360988089254
5.127.78.230,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.127.80.240,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.84.90,95,94,47.5,0.405982905982906,2.48936170212766,95,73,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.11128695123127447
5.127.85.32,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053
5.127.88.57,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731
5.127.92.195,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.134.128.102,3,3,3.0,0.046875,32.0,2,6,0,1.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,1,0.10428917753727057
5.134.155.181,2,2,2.0,2.0,0.0,2,8,0,1.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.13795594471972494
5.134.155.38,4,4,4.0,0.2666666666666666,5.0,2,5,0,1.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.12330860340299565
5.134.173.232,32,32,32.0,3.555555555555556,0.2903225806451613,31,26,0,0.0,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.1790829974610766
5.134.179.97,5,3,2.5,0.0106382978723404,117.5,5,12,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.25851772430792846
5.134.180.8,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.27458555541544266
5.135.131.149,3,2,1.5,0.0003476648510835,4314.5,3,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.1467071813682403
5.135.141.53,2,2,2.0,2.0,0.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2564403168117421
5.160.157.20,365,13,9.864864864864863,0.0332210794575407,30.18406593406593,289,102,0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,1,0.02510284598751944
5.160.209.36,2,2,2.0,0.2222222222222222,9.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2742938169918009
5.160.80.227,1,1,1.0,1.0,0.0,1,7,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2478017859782055
5.160.85.34,1,1,1.0,1.0,0.0,1,5,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2478017859782055
