ip,request_count,max_req_count_5min,avg_req_count_5min,requests_per_second,avg_time_between_requests,unique_endpoints,unique_ids_accessed,status_404_count,max_error_rate_5min,suspicious_ua_ratio,bot_ratio,mobile_ratio,post_frequency,max_repeated_endpoint_hits,login_attempt_count,failed_login_count,failed_login_rate,max_login_req_per_min,avg_time_between_login_attempts,iso_prediction,iso_score_raw,dbscan_label,ae_prediction,ae_reconstruction_error,iso_anomaly_score,dbscan_anomaly_score,ae_anomaly_score,risk_score,risk_level
5.117.226.85,29,28,14.5,0.2710280373831775,3.821428571428572,29,33,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2158957107204623,0,1,0.0175630119675166,0,0,0,0.0,Low
5.117.227.100,3,2,1.5,0.003671970624235,408.5,3,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2503116309878101,0,1,0.0118863089131283,0,0,0,0.0,Low
5.117.230.62,2,1,1.0,0.0444444444444444,45.0,2,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2702603446693277,0,1,0.0027202005221876,0,0,0,0.0,Low
5.117.240.144,2,1,1.0,0.0042553191489361,470.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2460984456177873,0,1,0.0143183030670422,0,0,0,0.0,Low
5.117.240.40,12,2,1.5,0.0053956834532374,202.1818181818182,12,25,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2400575851075745,0,1,0.0051422038147605,0,0,0,0.0,Low
5.117.242.204,79,70,39.5,0.2372372372372372,4.269230769230769,68,63,0,0.0,0.0,0.0,1.0,0.0,7,0,0,0.0,0.0,0.0,1,0.1143317379259335,0,1,0.0943341946002218,0,0,0,0.0,Low
5.117.247.113,2,2,2.0,0.5,4.0,2,7,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2714490743435796,0,1,0.0012435772043625,0,0,0,0.0,Low
5.117.29.163,4,4,4.0,4.0,0.0,4,6,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2301066141090406,0,1,0.081718432137093,0,0,0,0.0,Low
5.117.3.136,34,22,17.0,0.1789473684210526,5.757575757575758,19,6,0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,1,0.1634010900051735,0,1,0.0833288624304761,0,0,0,0.0,Low
5.117.32.94,2,2,2.0,2.0,0.0,2,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2571743042308195,0,1,0.0154444935244646,0,0,0,0.0,Low
5.117.37.233,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.0021274561347543,0,0,0,0.0,Low
5.117.51.43,13,13,13.0,2.6,0.4166666666666667,7,1,8,0.6153846153846154,0.0,0.0,1.0,0.0,2,0,0,0.0,0.0,0.0,1,0.0508209138031503,0,1,0.4549388216552962,0,0,0,0.0,Low
5.117.66.41,5,4,2.5,0.0909090909090909,13.75,5,15,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2638197795916759,0,1,0.0019671954573333,0,0,0,0.0,Low
5.117.98.74,2,2,2.0,0.125,16.0,2,5,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2738215632615118,0,1,0.0022954049404135,0,0,0,0.0,Low
5.119.119.13,1,1,1.0,1.0,0.0,1,4,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2756218683739053,0,1,0.0022868837414865,0,0,0,0.0,Low
5.119.13.176,57,38,28.5,0.5229357798165137,1.946428571428572,50,60,0,0.0,0.0,0.0,1.0,0.0,5,0,0,0.0,0.0,0.0,1,0.1636600406148054,0,1,0.0227599865655948,0,0,0,0.0,Low
5.119.144.217,3,3,3.0,0.0136363636363636,110.0,3,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2682943953521256,0,1,0.0037624947355619,0,0,0,0.0,Low
5.119.150.208,1,1,1.0,1.0,0.0,1,3,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2748916486007731,0,1,0.0023729166104672,0,0,0,0.0,Low
5.119.151.204,4,3,2.0,0.0092378752886836,144.33333333333334,4,8,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2617701740683456,0,1,0.0040640471582593,0,0,0,0.0,Low
5.119.153.150,1,1,1.0,1.0,0.0,1,9,0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1,0.2745855554154426,0,1,0.0021274561347543,0,0,0,0.0,Low
5.119.16.105,26,26,26.0,0.5416666666666666,1.92,15,12,0,0.0384615384615384,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,1,0.1460879963941059,0,1,0.3175341240331908,0,0,0,0.0,Low
